Column1,program,NCS직무분류,apply_option,직무코드,업종분류,관련자격증,훈련기간,훈련시간,평균연령대,주관부처,훈련유형,주야구분/주말여부
61,(2023) 전기자동차 부품설계 및3D프린터활용 시제품 제작모집마감,기계설계기획(15010101),기계설계기획,15010101,12,-,2023-11-13~2024-02-22(1회차),"70일,총560시간",31,부산북부고용센터,산업구조변화대응,주간/주중
62,(2023) 친환경자동차정비 및 Body repair융합과정모집마감,자동차정비(150603),자동차정비,150603,12,-,2023-06-12~2024-01-18(1회차),"150일,총1200시간",29,부산고용,산업구조변화대응,주간/주중
63,(2023)온라인쇼핑몰 관리자 양성과정모집마감,전자상거래(10030102),전자상거래,10030102,4,-,2023-08-29~2023-11-22(1회차),"55일,총220시간",49,부산고용,산업구조변화대응,주간/주중
64,(산대특)스마트 전기제어_특례모집마감,자동제어시스템설계(19010801),자동제어시스템설계,19010801,13,-,2023-04-24~2023-07-28(1회차),"63일,총450시간",38,광주고용센터,산업구조변화대응,주간/주중
65,[산대특]MZ세대와 중소기업의 상생을 위한 슈퍼회계사무원 양성과정_특례모집마감,세무(02030202),세무,2030202,3,-,2023-06-26~2023-08-23(1회차),"40일,총160시간",28,광주고용센터,산업구조변화대응,주간/주중
66,[산대특]360VR 및 실감콘텐츠 온라인 영상물 제작과정_특례모집마감,정보기술개발(200102),정보기술개발,200102,18,-,2023-06-26~2023-09-14(1회차),"52일,총360시간",27,광주고용센터,산업구조변화대응,주간/주중
67,"[산대특]디지털커머스 전문가 양성과정(유튜브,상품디자인,오픈마켓)_특례모집마감",정보기술개발(200102),정보기술개발,200102,18,-,2023-05-22~2023-08-23(1회차),"60일,총240시간",-,광주고용센터,산업구조변화대응,주간/주중
68,(2023) 미디어마케팅을 위한 영상 콘텐츠 제작 및 편집자 양성과정모집마감,시각디자인(08020101),시각디자인,8020101,2,-,2023-06-19~2023-10-11(1회차),"75일,총600시간",28,부산북부고용센터,산업구조변화대응,주간/주중
69,"[산대특]실감형콘텐츠(VR,AR,XR) 및 메타버스 개발자 양성과정_특례모집중",정보기술개발(200102),정보기술개발,200102,18,-,2024-02-28~2024-07-24(1회차),"100일,총700시간",-,광주고용센터,산업구조변화대응,주간/주중
70,"(산대특)ICT를 활용한 융복합 광고콘텐츠제작(UI/UX,모션그래픽(유튜브영상)_특례모집마감",응용SW엔지니어링(20010202),응용SW엔지니어링,20010202,18,-,2023-05-01~2023-10-31(1회차),"123일,총875시간",26,광주고용센터,산업구조변화대응,주간/주중
71,(산대특)문화컨텐츠산업 육성을 위한 서비스플랫폼 제작 및 마케팅 전문 인력 양성과정_특례모집마감,응용SW엔지니어링(20010202),응용SW엔지니어링,20010202,18,-,2024-01-15~2024-07-12(1회차),"123일,총875시간",26,광주고용센터,산업구조변화대응,주간/주중
72,(산대특)SNS 서비스플렛폼 제작을 위한 디자인 저작도구 실무활용_특례모집마감,스마트문화앱콘텐츠제작(08030209),스마트문화앱콘텐츠제작,8030209,2,-,2023-09-04~2023-10-27(1회차),"17일,총50시간",28,광주고용센터,산업구조변화대응,야간/주중
73,(산대특)스마트기기·실감형(VR)콘텐츠를 활용한 인테리어디자인_특례모집마감,응용SW엔지니어링(20010202),응용SW엔지니어링,20010202,18,-,2024-01-03~2024-05-28(1회차),"99일,총735시간",27,광주고용센터,산업구조변화대응,주간/주중
74,(산대특)HMI를 활용한 전기제어실무 과정_특례모집마감,자동제어시스템운영(19010804),자동제어시스템운영,19010804,13,-,2023-06-26~2023-09-08(1회차),"59일,총350시간",31,광주고용센터,산업구조변화대응,"주간/주말,주중혼합"
75,(2023)현장장비 턴테이블을 활용한 TIG용접모집중,가스텅스텐아크용접(16010503),가스텅스텐아크용접,16010503,15,-,2024-02-06~2024-02-23(1회차),"12일,총90시간",-,부산북부고용센터,산업구조변화대응,주간/주중
76,[산대특]UXUI 스마트웹&SNS콘텐츠디자인_특례모집마감,UI/UX엔지니어링(20010207),UI/UX엔지니어링,20010207,18,-,2023-06-20~2023-12-18(1회차),"118일,총670시간",30,광주고용센터,산업구조변화대응,주간/주중
77,(산대특)이것만 배우면 나도 영상제작 전문가!_특례모집마감,영상편집(08030406),영상편집,8030406,2,-,2023-09-04~2023-11-06(1회차),"23일,총70시간",-,광주고용센터,산업구조변화대응,야간/주중
78,(산대특)베이커리&카페 디저트실무자 양성과정_전직 및 취·창업모집마감,제빵(21020102),제빵,21020102,10,-,2023-06-02~2023-08-31(1회차),"50일,총200시간",39,순천고용센터,산업구조변화대응,"주간/주말,주중혼합"
79,(산대특)사회복지 회계일반사무원 및 인사관리_전직모집마감,회계·감사(02030201),회계·감사,2030201,3,-,2023-05-30~2023-08-29(1회차),"59일,총350시간",39,목포고용센터,산업구조변화대응,주간/주중
80,(산대특)관광 굿즈디자인및 광고콘텐츠제작_취 ·창업과정모집마감,UI/UX엔지니어링(20010207),UI/UX엔지니어링,20010207,18,-,2023-11-30~2024-02-29(1회차),"60일,총420시간",37,목포고용센터,산업구조변화대응,주간/주중
81,2023년 산업구조변화대응 등 특화훈련 사업모집마감,소형무인기운용·조종(09040105),소형무인기운용·조종,9040105,12,-,2023-05-30~2023-08-04(1회차),"30일,총90시간",55,구미고용센터,산업구조변화대응,"주야혼합/주말,주중혼합"
82,스케치업(루비)맥스 루미온을 활용한 인테리어(VMD)양성과정모집마감,실내건축설계(14030104),실내건축설계,14030104,1,-,2023-09-26~2024-02-23(1회차),"100일,총600시간",29,대전고용센터,산업구조변화대응,주간/주중
83,AI인공지능 빅데이터 플랫폼 구축인력 양성과정모집마감,인공지능플랫폼구축(20010701),인공지능플랫폼구축,20010701,18,-,2023-08-21~2023-09-21(1회차),"24일,총144시간",40,대구서부고용센터,산업구조변화대응,주간/주중
84,(산대특)유튜브 마케팅 영상제작 양성모집마감,PR(02010201),PR,2010201,3,-,2023-08-17~2023-09-08(1회차),"16일,총80시간",44,대구고용센터,산업구조변화대응,주야혼합/주중
85,사이버 위협 분석 대응 전문가 양성모집마감,보안엔지니어링(20010206),보안엔지니어링,20010206,18,-,2023-06-29~2023-12-28(1회차),"120일,총840시간",26,대전고용센터,산업구조변화대응,주간/주중
86,(산대특)디지털 산업융합 빅데이터 플랫폼개발자 과정_특례모집마감,빅데이터플랫폼구축(20010209),빅데이터플랫폼구축,20010209,18,-,2023-06-20~2023-12-15(1회차),"125일,총976시간",26,광주고용센터,산업구조변화대응,"주간/주말,주중혼합"
87,(산대특) e-커머스 플랫폼을 활용한 패션콘텐츠(굿즈&패턴&패션소품)제작 패션크리에이터 양성과정모집중,패션소품생산(18020204),패션소품생산,18020204,8,-,2024-02-14~2024-08-14(1회차),"121일,총840시간",-,대구고용센터,산업구조변화대응,주간/주중
88,특수용접(알루미늄+스테인리강관용접)모집마감,가스텅스텐아크용접(16010503),가스텅스텐아크용접,16010503,15,-,2023-05-30~2023-08-23(1회차),"60일,총240시간",46,창원고용센터,산업구조변화대응,야간/주중
89,(산대특)CATIA(Solid modeling)를 활용한 항공기 부품설계 향상과정_육성산업모집마감,기계요소설계(15010201),기계요소설계,15010201,12,-,2023-06-03~2023-07-15(1회차),"7일,총40시간",34,창원고용센터,산업구조변화대응,주간/주말
90,(산대특)CATIA(Wireframe과 Surface)를 활용한 항공기 부품설계 향상과정_육성산업모집마감,기계요소설계(15010201),기계요소설계,15010201,12,-,2023-06-03~2023-07-15(1회차),"7일,총40시간",32,창원고용센터,산업구조변화대응,주간/주말
91,(산대특)CATIA DMU를 활용한 항공기 부품설계 향상과정_육성산업모집마감,기계요소설계(15010201),기계요소설계,15010201,12,-,2023-10-14~2023-11-18(1회차),"6일,총30시간",-,창원고용센터,산업구조변화대응,"⭐전액무료⭐설계분야로취업을준비하는분들에게추천캐드는기본이고""카티아를배우시면취업문이2배""넓어집니다.⭐기계과출신우수한강사진~!!⭐캐드와인벤터,카티아로각종관련자격증취득과동시에3D프린터도OK!!🔥문의""055-245-1666"",카톡채널""동양직업전문학교""교"""
92,(산대특)친환경 도시조경과 자연환경관리양성과정_지원대상모집마감,조경시공(14050102),조경시공,14050102,1,-,2023-06-01~2023-11-22(1회차),"116일,총695시간",62,창원고용센터,산업구조변화대응,주간/주중
93,(산대특)CAM을 활용한 그린카 부품 가공(초급)_육성산업_역량개발모집마감,CAM(15020104),CAM,15020104,12,-,2023-08-19~2023-09-16(1회차),"5일,총30시간",41,창원고용센터,산업구조변화대응,주간/주말
94,(산대특)CAM을 활용한 그린카 부품 가공(중급)_육성산업_역량개발모집마감,CAM(15020104),CAM,15020104,12,-,2023-06-10~2023-07-08(1회차),"5일,총30시간",39,창원고용센터,산업구조변화대응,주간/주말
95,(산대특)ICT솔루션 웹퍼블리셔(웹디자인)양성과정_육성산업모집마감,시각디자인(08020101),시각디자인,8020101,2,-,2023-05-19~2023-10-05(1회차),"87일,총520시간",28,창원고용센터,산업구조변화대응,주간/주중
96,(산대특)ICT 융합 서비스를 위한 스마트 콘텐츠 제작자 양성과정_육성산업모집마감,광고콘텐츠제작(08030204),광고콘텐츠제작,8030204,2,-,2023-07-19~2024-01-10(1회차),"116일,총695시간",49,창원고용센터,산업구조변화대응,주간/주중
97,(산대특)항공기부품 AL가공 기술자 양성과정_육성산업모집마감,CAM(15020104),CAM,15020104,12,-,2023-10-05~2024-01-15(1회차),"70일,총490시간",46,창원고용센터,산업구조변화대응,주간/주중
98,메타버스 플랫폼 웹쇼핑몰과 영상제작 양성과정_육성산업모집마감,디지털디자인(08020104),디지털디자인,8020104,2,-,2023-05-10~2023-07-27(1회차),"57일,총450시간",33,진주고용센터,산업구조변화대응,"주간/주말,주중혼합"
99,(산대특) 미래형 친환경 전기 자동차 부품 제조 인력 양성과정_육성산업모집마감,자동차설계(15060101),자동차설계,15060101,12,-,2023-07-03~2023-08-14(1회차),"30일,총210시간",23,창원고용센터,산업구조변화대응,주간/주중
100,"(2023)디지털 프로덕트 UIUX 웹앱설계, 디자인 양성과정모집마감",UI/UX엔지니어링(20010207),UI/UX엔지니어링,20010207,18,-,2023-08-03~2023-11-24(1회차),"75일,총600시간",29,부산고용,산업구조변화대응,주간/주중
101,(산대특)건설안전관리_지원모집마감,건설안전관리(23060103),건설안전관리,23060103,19,-,2023-07-19~2023-10-27(1회차),"58일,총400시간",47,광주고용센터,산업구조변화대응,주간/주중
102,(산대특)ISO 국제용접사(TIG)_지원모집마감,가스텅스텐아크용접(16010503),가스텅스텐아크용접,16010503,15,-,2023-08-21~2023-12-01(1회차),"68일,총300시간",44,광주고용센터,산업구조변화대응,주간/주중
103,(산대특) 메타버스 크리에이터양성모집마감,광고콘텐츠제작(08030204),광고콘텐츠제작,8030204,2,-,2023-06-26~2023-10-23(1회차),"79일,총600시간",30,대구서부고용센터,산업구조변화대응,주간/주중
104,[산대특] 산업재해 안전관리를 통한 기중기·로더 취업지원 양성과정_전직 및 취창업모집마감,기중기운전(14070501),기중기운전,14070501,1,-,2023-05-12~2023-06-16(1회차),"25일,총150시간",34,순천고용센터,산업구조변화대응,주간/주중
105,"총무사무원 양성교육(총무,임금관리,원천세, 4대보험 핵심실무)모집마감",총무(02020101),총무,2020101,3,-,2023-08-31~2023-09-27(1회차),"20일,총80시간",40,대전고용센터,산업구조변화대응,주간/주중
106,(산대특)산업재해예방을 위한 Risk안전관리_지원모집마감,기계안전관리(23060101),기계안전관리,23060101,19,-,2023-06-17~2023-08-05(1회차),"8일,총60시간",48,광주고용센터,산업구조변화대응,주간/주말
107,(산대특 취창업)조경&산림(기계활용)시공관리모집마감,조경설계(14050101),조경설계,14050101,1,-,2023-06-13~2023-11-17(1회차),"103일,총620시간",59,전주고용센터,산업구조변화대응,주간/주중
108,(산대특 취창업)산업별 추락예방 전문로프접근기술 활동 자기규율 예방체계 산업안전관리 과정모집마감,건설안전관리(23060103),건설안전관리,23060103,19,-,2023-06-12~2023-06-23(1회차),"10일,총80시간",41,전주고용센터,산업구조변화대응,주간/주중
109,(산대특 취창업) 스마트 기계 및 자동차 설계인력 양성과정모집마감,기계요소설계(15010201),기계요소설계,15010201,12,-,2023-07-17~2023-11-06(1회차),"75일,총600시간",26,전주고용센터,산업구조변화대응,주간/주중
110,[산대특 취창업] 저탄소 그린에너지 산업전기과정모집마감,내선공사(19010701),내선공사,19010701,13,-,2023-05-08~2023-09-07(1회차),"86일,총600시간",51,익산고용센터,산업구조변화대응,주간/주중
111,[산대특 취창업] 클라우드서비스 활용 프레임워크 개발자 양성모집중,응용SW엔지니어링(20010202),응용SW엔지니어링,20010202,18,-,2024-02-15~2024-07-29(1회차),"113일,총900시간",26,전주고용센터,산업구조변화대응,주간/주중
